,,Price,Payment_Type
visa,794,1200,Visa
visa,795,1200,Visa
visa,797,3600,Visa
visa,798,1200,Visa
visa,801,3600,Visa
visa,802,1200,Visa
visa,803,3600,Visa
visa,804,1200,Visa
visa,805,1200,Visa
visa,806,1200,Visa
visa,809,1200,Visa
visa,810,1200,Visa
visa,811,1200,Visa
visa,816,1200,Visa
visa,817,1200,Visa
visa,818,1200,Visa
visa,819,1200,Visa
visa,820,3600,Visa
visa,821,1200,Visa
visa,823,1200,Visa
visa,826,1200,Visa
visa,831,3600,Visa
visa,834,1200,Visa
visa,835,1200,Visa
visa,840,1200,Visa
visa,841,3600,Visa
visa,843,1200,Visa
visa,845,3600,Visa
visa,847,1200,Visa
visa,848,1200,Visa
visa,851,1200,Visa
visa,859,1200,Visa
visa,862,1200,Visa
visa,863,3600,Visa
visa,864,1200,Visa
visa,865,1200,Visa
visa,866,1200,Visa
visa,867,3600,Visa
visa,869,1200,Visa
visa,870,3600,Visa
visa,873,1200,Visa
visa,875,3600,Visa
visa,877,1200,Visa
visa,878,1200,Visa
visa,879,1200,Visa
visa,881,1200,Visa
visa,882,1200,Visa
visa,884,3600,Visa
visa,885,1200,Visa
visa,886,1200,Visa
visa,891,1200,Visa
visa,893,1200,Visa
visa,899,1200,Visa
visa,901,3600,Visa
visa,903,1200,Visa
visa,906,1200,Visa
visa,909,1200,Visa
visa,910,1200,Visa
visa,911,1200,Visa
visa,914,1200,Visa
visa,916,1200,Visa
visa,917,1200,Visa
visa,918,1200,Visa
visa,919,3600,Visa
visa,925,1200,Visa
visa,927,1200,Visa
visa,929,1200,Visa
visa,931,1200,Visa
visa,940,1200,Visa
visa,941,1200,Visa
visa,945,1200,Visa
visa,946,3600,Visa
visa,949,3600,Visa
visa,950,1200,Visa
visa,953,1200,Visa
visa,955,1200,Visa
visa,956,1200,Visa
visa,959,1200,Visa
visa,961,1200,Visa
visa,963,7500,Visa
visa,965,1200,Visa
visa,967,1200,Visa
visa,970,1200,Visa
visa,971,1200,Visa
visa,972,1200,Visa
visa,973,1200,Visa
visa,975,1200,Visa
visa,977,1200,Visa
visa,978,1200,Visa
visa,980,1200,Visa
visa,981,1200,Visa
visa,983,1200,Visa
visa,984,1200,Visa
visa,985,1200,Visa
visa,990,1200,Visa
visa,993,1200,Visa
visa,994,3600,Visa
visa,997,1200,Visa
