Yritys,Yritys nimi,Tulosyksikkö,Tulosyksikkö nimi,TY hierarkia järj,TY hierarkia taso 1,TY hierarkia taso 2,TY hierarkia taso 3,TY hierarkia taso 4,TY hierarkia taso 5,TY hierarkia taso 6,TY hierarkia taso 7,Pääkirjatiliryhmä,Pääkirjatili,Pääkirjatili nimi,Kumppaniyhtiö,Kumppaniyhtiö nimi,TA 2014
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Verotulot,603000,Osuus yhteisöveron tuotosta,#,Kohdistamaton,"54 000 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Verotulot,604000,Koiravero,#,Kohdistamaton,"130 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Valtionosuudet,611100,Kunnan peruspalvelujen valtionosuus (ilman tasauks,#,Kohdistamaton,"236 910 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Valtionosuudet,611400,Opetus- ja kulttuuritoimen muut valtionosuudet,#,Kohdistamaton,"62 590 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Korkotuotot,641000,Korkotulot antolainoista,#,Kohdistamaton,"5 830 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Korkotuotot,642000,Korkotulot talletuksista,#,Kohdistamaton,"3 000 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Korkotuotot,643000,Korkotulot joukkovelkakirjalainoista,#,Kohdistamaton,"140 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Korkotuotot,644000,Korkotulot indeksilainoista,#,Kohdistamaton,"70 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Korkotuotot,645000,Korkotulot rahastoista,#,Kohdistamaton,"60 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Korkotuotot,647000,"Korkotulot, sisäiset",1220,Avopalvelut,"160 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Korkotuotot,647000,"Korkotulot, sisäiset",1250,Laitoshoito,"280 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Korkotuotot,647000,"Korkotulot, sisäiset",1260,Erikoissairaanhoito,"120 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Korkotuotot,647000,"Korkotulot, sisäiset",1310,Varhaiskasvatus ja perusopetus,"270 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Korkotuotot,647000,"Korkotulot, sisäiset",1340,Toisen asteen koulutus,"290 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Korkotuotot,647000,"Korkotulot, sisäiset",1370,Kulttuuri- ja vapaa-aikapalvel,"760 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Korkotuotot,649000,Muut korkotulot,#,Kohdistamaton,"220 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut rahoitustuotot,651000,Viivästyskorkotulot,#,Kohdistamaton,"5 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut rahoitustuotot,651500,Verotilitysten korkotulot,#,Kohdistamaton,"10 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut rahoitustuotot,653000,Rahoitusarvopapereiden myyntivoitot,#,Kohdistamaton,"300 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut rahoitustuotot,654100,Tuotot liikelaitoksista,1410,Tampereen Infra Liikelaitos,"890 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut rahoitustuotot,654100,Tuotot liikelaitoksista,1610,Tampereen Tilakeskus liikelait,"24 162 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut rahoitustuotot,654100,Tuotot liikelaitoksista,1650,Tampereen Ateria liikelaitos,"222 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut rahoitustuotot,654100,Tuotot liikelaitoksista,1660,Tampereen Logistiikka liikelai,"93 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut rahoitustuotot,654100,Tuotot liikelaitoksista,1830,Tampereen Vesi liikelaitos,"10 500 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut rahoitustuotot,654100,Tuotot liikelaitoksista,1840,Tullinkulman Työterveys liikel,"48 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut rahoitustuotot,654200,Tuotot osuuksista saman konsernin yrityksissä,#,Kohdistamaton,"2 500 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut rahoitustuotot,654500,Tuotot osuuksista kuntayhtymissä,#,Kohdistamaton,"1 445 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut rahoitustuotot,654800,Tuotot muista pysyvien vastaavien sijoituksista,#,Kohdistamaton,"300 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut rahoitustuotot,654900,Tuotot rahoitusarvopapereista,#,Kohdistamaton,"400 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut rahoitustuotot,655000,Sijoitusten kurssivoitot,#,Kohdistamaton,"5 000 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut rahoitustuotot,659000,Muut rahoitustuotot,#,Kohdistamaton,"211 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Korkokulut,681000,Korkomenot lainoista,#,Kohdistamaton,"-2 768 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Korkokulut,688000,Korkojohdannaiset,#,Kohdistamaton,"-5 000 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Korkokulut,689000,Muut korkomenot,#,Kohdistamaton,"-466 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut rahoituskulut,691000,Viivästyskorkomenot,#,Kohdistamaton,"-1 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut rahoituskulut,698000,Provisiot ja muut lainamenot,#,Kohdistamaton,"-5 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut rahoituskulut,699000,Muut rahoitusmenot,#,Kohdistamaton,"-50 000,00"
1110,Päät.teko ja konserniohj.,111000,Kaupungin Yhteiset,9,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Rahaston lisäys (-) tai vähennys (+),862000,Rahaston vähennys (+),#,Kohdistamaton,"380 000,00"
1110,Päät.teko ja konserniohj.,111002,Suurtapahtumat,10,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Palvelujen ostot,452700,Muut palvelut,#,Kohdistamaton,"-55 000,00"
1110,Päät.teko ja konserniohj.,111002,Suurtapahtumat,10,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Avustukset,472000,Avustukset yhteisöille,#,Kohdistamaton,"-216 000,00"
1110,Päät.teko ja konserniohj.,111002,Suurtapahtumat,10,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Yhteiset,#,#,#,Muut toimintakulut,498000,Muut menot,#,Kohdistamaton,"-85 000,00"
1110,Päät.teko ja konserniohj.,111110,Kaupunginvaltuusto,15,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palkat ja palkkiot,402000,Maksetut ei sotumaksunalaiset korvaukset,#,Kohdistamaton,"-200 000,00"
1110,Päät.teko ja konserniohj.,111110,Kaupunginvaltuusto,15,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palkat ja palkkiot,403000,Palkkaj. kautta maksetut sotumaksun alaiset palkki,#,Kohdistamaton,"-108 500,00"
1110,Päät.teko ja konserniohj.,111110,Kaupunginvaltuusto,15,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Eläkekulut,421000,Eläkevakuutusmaksut,#,Kohdistamaton,"-51 000,00"
1110,Päät.teko ja konserniohj.,111110,Kaupunginvaltuusto,15,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Muut henkilösivukulut,431000,Sosiaaliturvamaksut,#,Kohdistamaton,"-6 400,00"
1110,Päät.teko ja konserniohj.,111110,Kaupunginvaltuusto,15,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Muut henkilösivukulut,432100,Työttömyysvakuutusmaksut,#,Kohdistamaton,"-9 200,00"
1110,Päät.teko ja konserniohj.,111110,Kaupunginvaltuusto,15,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Muut henkilösivukulut,432200,Tapaturmavakuutusmaksut,#,Kohdistamaton,"-1 200,00"
1110,Päät.teko ja konserniohj.,111110,Kaupunginvaltuusto,15,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Muut henkilösivukulut,432300,Ryhmähenkivakuutusmaksut,#,Kohdistamaton,"-200,00"
1110,Päät.teko ja konserniohj.,111110,Kaupunginvaltuusto,15,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palvelujen ostot,451200,"Toimisto-, pankki- ja asiantuntijapalvelut",1510,Taloushall. palvelukeskus,"-20 000,00"
1110,Päät.teko ja konserniohj.,111110,Kaupunginvaltuusto,15,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palvelujen ostot,451200,"Toimisto-, pankki- ja asiantuntijapalvelut",#,Kohdistamaton,"-20 000,00"
1110,Päät.teko ja konserniohj.,111110,Kaupunginvaltuusto,15,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palvelujen ostot,451300,Painatukset ja ilmoitukset,#,Kohdistamaton,"-30 000,00"
1110,Päät.teko ja konserniohj.,111110,Kaupunginvaltuusto,15,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palvelujen ostot,451900,Majoitus- ja ravitsemispalvelut,#,Kohdistamaton,"-40 000,00"
1110,Päät.teko ja konserniohj.,111110,Kaupunginvaltuusto,15,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palvelujen ostot,452000,Matkustus- ja kuljetuspalvelut,#,Kohdistamaton,"-3 500,00"
1110,Päät.teko ja konserniohj.,111110,Kaupunginvaltuusto,15,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palvelujen ostot,452700,Muut palvelut,#,Kohdistamaton,"-17 000,00"
1110,Päät.teko ja konserniohj.,111110,Kaupunginvaltuusto,15,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,"Aineet, tarvikkeet ja tavarat",462300,Muun materiaalin ostot,#,Kohdistamaton,"-10 000,00"
1110,Päät.teko ja konserniohj.,111110,Kaupunginvaltuusto,15,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Avustukset,472000,Avustukset yhteisöille,#,Kohdistamaton,"-134 000,00"
1110,Päät.teko ja konserniohj.,111110,Kaupunginvaltuusto,15,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Vuokrakulut,483000,Koneiden ja laitteiden vuokrat,#,Kohdistamaton,"-15 000,00"
1110,Päät.teko ja konserniohj.,111110,Kaupunginvaltuusto,15,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Muut toimintakulut,498000,Muut menot,#,Kohdistamaton,"-6 000,00"
1110,Päät.teko ja konserniohj.,111111,Toimielimet yhteiset,16,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palkat ja palkkiot,403000,Palkkaj. kautta maksetut sotumaksun alaiset palkki,#,Kohdistamaton,"-18 000,00"
1110,Päät.teko ja konserniohj.,111111,Toimielimet yhteiset,16,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Eläkekulut,421000,Eläkevakuutusmaksut,#,Kohdistamaton,"-5 000,00"
1110,Päät.teko ja konserniohj.,111111,Toimielimet yhteiset,16,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palvelujen ostot,451100,ICT-palvelut,1110,Kons.hall. ja päätöksenteko,"-173 800,00"
1110,Päät.teko ja konserniohj.,111111,Toimielimet yhteiset,16,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palvelujen ostot,451100,ICT-palvelut,#,Kohdistamaton,"-4 000,00"
1110,Päät.teko ja konserniohj.,111111,Toimielimet yhteiset,16,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palvelujen ostot,451200,"Toimisto-, pankki- ja asiantuntijapalvelut",1510,Taloushall. palvelukeskus,"-45 000,00"
1110,Päät.teko ja konserniohj.,111111,Toimielimet yhteiset,16,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palvelujen ostot,451200,"Toimisto-, pankki- ja asiantuntijapalvelut",1520,Hallintopalvelukeskus,"-24 000,00"
1110,Päät.teko ja konserniohj.,111111,Toimielimet yhteiset,16,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palvelujen ostot,451200,"Toimisto-, pankki- ja asiantuntijapalvelut",#,Kohdistamaton,"-7 000,00"
1110,Päät.teko ja konserniohj.,111111,Toimielimet yhteiset,16,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palvelujen ostot,451300,Painatukset ja ilmoitukset,#,Kohdistamaton,"-3 000,00"
1110,Päät.teko ja konserniohj.,111111,Toimielimet yhteiset,16,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palvelujen ostot,451400,Posti- ja telepalvelut,#,Kohdistamaton,"-8 000,00"
1110,Päät.teko ja konserniohj.,111111,Toimielimet yhteiset,16,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palvelujen ostot,451500,Vakuutukset,1190,Rahastot,"-50,00"
1110,Päät.teko ja konserniohj.,111111,Toimielimet yhteiset,16,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palvelujen ostot,451500,Vakuutukset,#,Kohdistamaton,"-400,00"
1110,Päät.teko ja konserniohj.,111111,Toimielimet yhteiset,16,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palvelujen ostot,451600,Puhtaanapito- ja pesulapalvelut,1610,Tampereen Tilakeskus liikelait,"-40 000,00"
1110,Päät.teko ja konserniohj.,111111,Toimielimet yhteiset,16,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palvelujen ostot,451900,Majoitus- ja ravitsemispalvelut,#,Kohdistamaton,"-25 000,00"
1110,Päät.teko ja konserniohj.,111111,Toimielimet yhteiset,16,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palvelujen ostot,452000,Matkustus- ja kuljetuspalvelut,#,Kohdistamaton,"-10 000,00"
1110,Päät.teko ja konserniohj.,111111,Toimielimet yhteiset,16,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palvelujen ostot,452300,Opetus- ja kulttuuripalvelut,1520,Hallintopalvelukeskus,"-37 700,00"
1110,Päät.teko ja konserniohj.,111111,Toimielimet yhteiset,16,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palvelujen ostot,452300,Opetus- ja kulttuuripalvelut,#,Kohdistamaton,"-39 050,00"
1110,Päät.teko ja konserniohj.,111111,Toimielimet yhteiset,16,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Palvelujen ostot,452700,Muut palvelut,#,Kohdistamaton,"-3 000,00"
1110,Päät.teko ja konserniohj.,111111,Toimielimet yhteiset,16,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Vuokrakulut,481000,Maa- ja vesialueiden vuokrat,1610,Tampereen Tilakeskus liikelait,"-21 000,00"
1110,Päät.teko ja konserniohj.,111111,Toimielimet yhteiset,16,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Vuokrakulut,482000,Rakennusten ja huoneistojen vuokrat,1610,Tampereen Tilakeskus liikelait,"-269 000,00"
1110,Päät.teko ja konserniohj.,111111,Toimielimet yhteiset,16,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,#,#,#,Vuokrakulut,483000,Koneiden ja laitteiden vuokrat,#,Kohdistamaton,"-44 000,00"
1110,Päät.teko ja konserniohj.,111120,Kaupunginhallitus,18,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,Kaupunginhallitus,#,#,Palkat ja palkkiot,402000,Maksetut ei sotumaksunalaiset korvaukset,#,Kohdistamaton,"-85 200,00"
1110,Päät.teko ja konserniohj.,111120,Kaupunginhallitus,18,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,Kaupunginhallitus,#,#,Palkat ja palkkiot,403000,Palkkaj. kautta maksetut sotumaksun alaiset palkki,#,Kohdistamaton,"-39 200,00"
1110,Päät.teko ja konserniohj.,111120,Kaupunginhallitus,18,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,Kaupunginhallitus,#,#,Eläkekulut,421000,Eläkevakuutusmaksut,#,Kohdistamaton,"-15 300,00"
1110,Päät.teko ja konserniohj.,111120,Kaupunginhallitus,18,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,Kaupunginhallitus,#,#,Muut henkilösivukulut,431000,Sosiaaliturvamaksut,#,Kohdistamaton,"-2 600,00"
1110,Päät.teko ja konserniohj.,111120,Kaupunginhallitus,18,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,Kaupunginhallitus,#,#,Muut henkilösivukulut,432100,Työttömyysvakuutusmaksut,#,Kohdistamaton,"-2 800,00"
1110,Päät.teko ja konserniohj.,111120,Kaupunginhallitus,18,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,Kaupunginhallitus,#,#,Muut henkilösivukulut,432200,Tapaturmavakuutusmaksut,#,Kohdistamaton,"-800,00"
1110,Päät.teko ja konserniohj.,111120,Kaupunginhallitus,18,Tampereen kaupunki,Päätöksenteko ja konserniohjaus,Konsernihallinto,Päätöksenteko,Kaupunginhallitus,#,#,Muut henkilösivukulut,432300,Ryhmähenkivakuutusmaksut,#,Kohdistamaton,"-100,00"
